province,schools_primary_public,schools_primary_private,schools_primary_total,teachers_primary_public,teachers_primary_private,teachers_primary_total,pupils_primary_public,pupils_primary_private,pupils_primary_total,special_library_a,special_library_b,special_library_c,special_library_total,school_library_a,school_library_b,school_library_c,school_library_total,academic_library_a,academic_library_b,academic_library_c,academic_library_total,public_library_a,public_library_b,public_library_c,public_library_total,public_library_all,reading_fondness_level,tgm_pre_reading,tgm_reading,tgm_post_reading,completion_elementary,completion_junior_high,completion_senior_high,villages_primary,villages_junior_high,villages_senior_high,villages_vocational,villages_university,eys_male,eys_female,education_25plus_male,education_25plus_female,literacy_male,literacy_female,literacy_total,region,facility_ratio_jhs,facility_ratio_shs,facility_ratio_vocational,facility_ratio_univ,school_density_primary,pupil_teacher_ratio,gap_eys,gap_literacy,gap_edu25plus,library_total_all,library_per_1000pupils,outcome_composite,eys_avg
KALIMANTAN TENGAH,2410.0,242.0,2652.0,23654.0,2858.0,26512.0,230892.0,46196.0,277088.0,1.0,0.0,0.0,1.0,16.0,25.0,77.0,118.0,1.0,5.0,3.0,9.0,1.0,16.0,46.0,63.0,191.0,56.24,51.25,55.56,59.18,97.47,88.92,63.93,1546,803,280,124,23,12.89,12.78,38.94,34.47,99.48,98.86,99.18,Kalimantan,0.5194049159120311,0.18111254851228978,0.08020698576972833,0.014877102199223804,9.570966624321516,10.451418225709112,-0.11000000000000121,-0.6200000000000045,-4.469999999999999,319.0,1.1512588058667281,81.555,12.835
KALIMANTAN SELATAN,2739.0,193.0,2932.0,27329.0,2547.0,29876.0,312010.0,37078.0,349088.0,2.0,2.0,3.0,7.0,24.0,46.0,227.0,297.0,4.0,1.0,12.0,17.0,10.0,12.0,41.0,63.0,384.0,57.1,51.92,56.02,60.69,95.99,88.19,68.35,1874,785,330,112,58,12.89,13.37,41.2,34.71,98.79,96.85,97.82,Kalimantan,0.41889007470651013,0.17609391675560299,0.05976520811099253,0.030949839914621132,8.399028325236044,11.684562859820591,0.47999999999999865,-1.940000000000012,-6.490000000000002,705.0,2.0195480795673295,83.085,13.129999999999999
KALIMANTAN TIMUR,1668.0,287.0,1955.0,23251.0,4346.0,27597.0,352800.0,72773.0,425573.0,5.0,3.0,1.0,9.0,86.0,139.0,88.0,313.0,4.0,3.0,3.0,10.0,15.0,17.0,18.0,50.0,382.0,57.86,52.7,56.21,62.26,97.88,94.85,73.63,1002,560,251,153,48,13.89,14.23,57.95,49.68,99.38,98.52,98.96,Kalimantan,0.5588822355289421,0.250499001996008,0.15269461077844312,0.04790419161676647,4.593806467985517,15.42098778852774,0.33999999999999986,-0.8599999999999994,-8.270000000000003,714.0,1.6777380143947103,86.29499999999999,14.06
KALIMANTAN UTARA,437.0,53.0,490.0,5457.0,713.0,6170.0,70049.0,10787.0,80836.0,1.0,1.0,0.0,2.0,2.0,2.0,20.0,24.0,0.0,1.0,0.0,1.0,0.0,1.0,6.0,7.0,34.0,58.89,53.58,57.73,62.65,96.41,88.08,59.5,317,160,64,29,12,13.01,13.74,47.43,44.8,98.67,97.56,98.14,Kalimantan,0.5047318611987381,0.20189274447949526,0.0914826498422713,0.03785488958990536,6.061655697956356,13.101458670988654,0.7300000000000004,-1.1099999999999994,-2.6300000000000026,61.0,0.7546142807659953,78.82,13.375
SULAWESI UTARA,1350.0,861.0,2211.0,14623.0,5901.0,20524.0,136974.0,82176.0,219150.0,1.0,0.0,0.0,1.0,5.0,23.0,30.0,58.0,1.0,0.0,0.0,1.0,1.0,4.0,30.0,35.0,95.0,58.75,53.94,57.75,62.05,96.18,92.07,67.57,1565,719,249,181,61,12.81,13.53,49.27,50.6,99.8,99.8,99.8,Sulawesi,0.4594249201277955,0.15910543130990415,0.11565495207667732,0.038977635782747606,10.088980150581794,10.677743129994154,0.7199999999999989,0.0,1.3299999999999983,155.0,0.7072781200091263,83.685,13.17
SULAWESI TENGAH,2675.0,276.0,2951.0,27325.0,2308.0,29633.0,289530.0,29191.0,318721.0,0.0,0.0,3.0,3.0,4.0,13.0,27.0,44.0,2.0,3.0,2.0,7.0,0.0,5.0,42.0,47.0,101.0,59.51,54.1,58.88,62.54,97.56,90.05,55.69,1929,972,346,167,40,13.19,13.85,37.66,35.76,98.87,97.9,98.39,Sulawesi,0.5038880248833593,0.1793675479523069,0.08657335406946605,0.020736132711249352,9.258881592364482,10.75561029932845,0.6600000000000001,-0.9699999999999989,-1.8999999999999986,155.0,0.4863187552749897,77.03999999999999,13.52
SULAWESI SELATAN,6067.0,401.0,6468.0,65370.0,5918.0,71288.0,800828.0,80037.0,880865.0,5.0,4.0,4.0,13.0,46.0,155.0,179.0,380.0,13.0,7.0,14.0,34.0,3.0,176.0,190.0,369.0,796.0,59.84,54.76,58.81,63.29,98.37,88.74,67.41,2975,1800,844,331,152,13.44,13.91,43.65,40.73,95.98,94.19,95.05,Sulawesi,0.6050420168067226,0.28369747899159664,0.11126050420168067,0.051092436974789913,7.342782378684589,12.356427449220066,0.47000000000000064,-1.7900000000000063,-2.9200000000000017,1223.0,1.3884079853325992,81.22999999999999,13.675
SULAWESI TENGGARA,2266.0,91.0,2357.0,28777.0,1089.0,29866.0,284912.0,15110.0,300022.0,1.0,0.0,3.0,4.0,6.0,32.0,37.0,75.0,2.0,4.0,3.0,9.0,6.0,20.0,43.0,69.0,157.0,58.64,53.43,57.8,61.86,97.83,89.55,68.28,1879,916,414,155,45,13.69,14.0,44.67,39.98,98.45,96.04,97.22,Sulawesi,0.4874933475252794,0.22032996274614156,0.08249068653539117,0.023948908994145823,7.8560905533594205,10.045603696511083,0.3100000000000005,-2.4099999999999966,-4.690000000000005,245.0,0.8166067821693076,82.75,13.844999999999999
GORONTALO,896.0,36.0,932.0,8415.0,426.0,8841.0,103371.0,5377.0,108748.0,1.0,1.0,0.0,2.0,25.0,44.0,223.0,292.0,5.0,1.0,2.0,8.0,3.0,7.0,92.0,102.0,404.0,59.2,54.18,58.36,62.37,93.69,83.71,46.19,659,362,108,57,15,12.88,13.86,31.37,37.47,98.09,98.99,98.54,Sulawesi,0.5493171471927162,0.1638846737481032,0.08649468892261002,0.02276176024279211,8.570272556736676,12.30041850469404,0.9799999999999986,0.8999999999999915,6.099999999999998,706.0,6.49207341744216,72.36500000000001,13.370000000000001
SULAWESI BARAT,1297.0,33.0,1330.0,15059.0,389.0,15448.0,138755.0,5314.0,144069.0,0.0,0.0,0.0,0.0,1.0,53.0,240.0,294.0,0.0,2.0,2.0,4.0,2.0,8.0,26.0,36.0,334.0,48.63,44.54,47.95,51.21,95.13,84.04,54.79,632,410,172,112,24,12.79,13.3,36.44,34.23,97.14,94.11,95.62,Sulawesi,0.6487341772151899,0.2721518987341772,0.17721518987341772,0.0379746835443038,9.231687594138918,9.326061626100467,0.5100000000000016,-3.030000000000001,-2.210000000000001,632.0,4.386786886838945,75.205,13.045
MALUKU,1311.0,533.0,1844.0,15402.0,3568.0,18970.0,148432.0,53782.0,202214.0,0.0,0.0,0.0,0.0,1.0,1.0,6.0,8.0,1.0,1.0,2.0,4.0,1.0,2.0,18.0,21.0,33.0,57.38,51.94,57.05,59.94,98.69,93.9,75.01,1112,624,276,104,43,13.93,14.46,56.38,54.61,99.6,99.1,99.35,Maluku-Papua,0.5611510791366906,0.24820143884892087,0.09352517985611511,0.03866906474820144,9.119052093326871,10.659673168160253,0.5300000000000011,-0.5,-1.7700000000000031,45.0,0.22253652071567745,87.18,14.195
MALUKU UTARA,1133.0,199.0,1332.0,12447.0,1323.0,13770.0,116699.0,21799.0,138498.0,1.0,0.0,0.0,1.0,0.0,10.0,66.0,76.0,1.0,2.0,0.0,3.0,0.0,14.0,36.0,50.0,130.0,60.66,55.61,60.26,63.2,98.3,93.46,64.61,1092,630,301,143,25,13.81,13.76,45.39,40.28,99.26,98.46,98.86,Maluku-Papua,0.5769230769230769,0.27564102564102566,0.13095238095238096,0.022893772893772892,9.617467400251268,10.057952069716775,-0.05000000000000071,-0.8000000000000114,-5.109999999999999,210.0,1.516267382922497,81.735,13.785
PAPUA BARAT,407.0,177.0,584.0,4322.0,1500.0,5822.0,46967.0,23216.0,70183.0,0.0,0.0,0.0,0.0,5.0,4.0,10.0,19.0,1.0,1.0,1.0,3.0,0.0,4.0,9.0,13.0,35.0,50.77,46.13,50.92,52.38,92.69,88.63,59.99,502,150,61,18,15,13.21,13.2,54.68,46.1,98.67,97.17,97.96,Maluku-Papua,0.29880478087649404,0.12151394422310757,0.035856573705179286,0.029880478087649404,8.32110340110853,12.054792167639986,-0.010000000000001563,-1.5,-8.579999999999998,57.0,0.8121624894917573,78.975,13.205
PAPUA BARAT DAYA,313.0,251.0,564.0,3823.0,1665.0,5488.0,37066.0,24331.0,61397.0,0.0,2.0,0.0,2.0,1.0,5.0,34.0,40.0,2.0,0.0,0.0,2.0,0.0,3.0,11.0,14.0,58.0,,,,,,,,457,170,82,35,18,13.73,14.03,62.26,55.35,98.9,98.23,98.58,Maluku-Papua,0.37199124726477023,0.17943107221006566,0.07658643326039387,0.03938730853391685,9.186116585500919,11.1875,0.29999999999999893,-0.6700000000000017,-6.909999999999997,102.0,1.6613189569522941,98.58,13.879999999999999
PAPUA,500.0,353.0,853.0,5051.0,2825.0,7876.0,68799.0,48911.0,117710.0,1.0,0.0,1.0,2.0,0.0,2.0,4.0,6.0,3.0,1.0,1.0,5.0,0.0,0.0,4.0,4.0,17.0,51.12,46.79,48.77,56.24,80.09,67.12,39.5,643,239,110,44,25,13.66,14.13,63.01,55.73,98.99,97.76,98.39,Maluku-Papua,0.37169517884914466,0.17107309486780714,0.06842923794712286,0.038880248833592534,7.246623056664684,14.94540375825292,0.47000000000000064,-1.2299999999999898,-7.280000000000001,30.0,0.2548636479483476,68.945,13.895
PAPUA SELATAN,381.0,235.0,616.0,3139.0,1637.0,4776.0,57928.0,38080.0,96008.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,544,113,38,24,10,12.92,12.56,45.76,37.8,97.11,93.31,95.27,Maluku-Papua,0.20772058823529413,0.06985294117647059,0.04411764705882353,0.01838235294117647,6.416131989000917,20.10217755443886,-0.35999999999999943,-3.799999999999997,-7.960000000000001,2.0,0.020831597366886095,95.27,12.74
PAPUA TENGAH,292.0,268.0,560.0,3370.0,2332.0,5702.0,72584.0,73386.0,145970.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,421,139,47,32,21,9.71,9.44,31.08,26.68,86.48,85.07,85.82,Maluku-Papua,0.33016627078384797,0.11163895486935867,0.07600950118764846,0.0498812351543943,3.836404740700144,25.599789547527184,-0.27000000000000135,-1.4100000000000108,-4.399999999999999,0.0,0.0,85.82,9.575
PAPUA PEGUNUNGAN,516.0,163.0,679.0,3604.0,1095.0,4699.0,109588.0,34402.0,143990.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,510,160,49,17,8,9.96,10.1,21.0,12.32,71.88,64.38,68.32,Maluku-Papua,0.3137254901960784,0.09607843137254903,0.03333333333333333,0.01568627450980392,4.715605250364609,30.642689934028517,0.1399999999999988,-7.5,-8.68,0.0,0.0,68.32,10.030000000000001
