region,education_25plus_male,education_25plus_female
Kepulauan Yapen,57.89,44.7
Biak Numfor,60.36,52.14
Paniai,-,-
Puncak Jaya,-,-
Mimika,-,-
Boven Digoel,-,-
Mappi,-,-
Asmat,-,-
Yahukimo,-,-
Pegunungan Bintang,-,-
Tolikara,-,-
Sarmi,50.05,45.13
Keerom,45.58,38.15
Waropen,50.7,42.16
Supiori,55.56,43.86
Mamberamo Raya,27.92,18.3
Nduga,-,-
Lanny Jaya,-,-
Mamberamo Tengah,-,-
Yalimo,-,-
Puncak,-,-
Dogiyai,-,-
Intan Jaya,-,-
Deiyai,-,-
Kota Jayapura,74.68,69.52
PAPUA SELATAN,45.76,37.8
Merauke,50.96,45.17
Boven Digoel,51.65,45.55
Mappi,35.63,25.91
Asmat,35.65,23.1
PAPUA TENGAH,31.08,26.68
Mimika,66.05,60.42
Dogiyai,17.73,12.6
Deiyai,12.62,8.49
Nabire,62.78,54.47
Paniai,13.29,11.26
Intan Jaya,14.53,10.28
Puncak,1.24,0.15
Puncak Jaya,21.95,16.79
PAPUA PEGUNUNGAN,21,12.32
Nduga,4.87,1.18
Jayawijaya,33.99,22.74
Lanny Jaya,21.39,14.17
Tolikara,16.66,6.14
Mamberamo Tengah,22.72,12.55
Yalimo,31.57,29.88
Yahukimo,11.91,3.99
Pegunungan Bintang,28.61,11.69
INDONESIA,44.23,38.35
